Workbook,Worksheet,Cell,ParameterName,DisplayedValue,RawValue,Formula,DataType,Units,Comment,ValidationRule,FormulaError,NamedRange,ExternalLink
Calc_10006_023.xls,Sheet1,$B$138,HEADER_Sup_Flg1Size,1.000,1.0,='Excel Calcs'!E113,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$139,HEADER_Sup_Flg2Size,4.805,4.80499,='Excel Calcs'!E114,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$140,HEADER_Sup_Flg3Size,1.000,1.0,='Excel Calcs'!E115,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$141,HEADER_Sup_Flg4Size,0.750,0.75,='Excel Calcs'!E116,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$142,HEADER_Sup_Clr_Hole1_Dia,0.312,0.312,='Excel Calcs'!E117,String,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$143,HEADER_Sup_Clr_Hole2_Dia,0.218,0.218,='Excel Calcs'!E118,String,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$144,HEADER_Sup_Thk,0.135,0.13501,='Excel Calcs'!E119,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$145,HEADER_Sup_Coil_Hole1_Loc_X,0.375,0.375,='Excel Calcs'!E121,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$146,HEADER_Sup_Coil_Hole2_Loc_Y,0.500,0.5,='Excel Calcs'!E122,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$147,HEADER_Sup_Coil_Hole2_Loc_Z,0.500,0.5,='Excel Calcs'!E123,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$148,HEADER_Sup_Loc1,83.980,83.98001,='Excel Calcs'!E124,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$149,HEADER_Sup_Loc2,24.000,24.0,='Excel Calcs'!E125,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$150,HEADER_Sup_Loc3,12.000,12.0,='Excel Calcs'!E126,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$151,T1BHD_Width,83.000,83.0,='Excel Calcs'!H4,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$152,T1BHD_Height,3.895,3.894990000000007,='Excel Calcs'!H5,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$153,T1BHD_Flg1Size,1.500,1.5,='Excel Calcs'!H6,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$154,T1BHD_Flg2Size,0.750,0.75,='Excel Calcs'!H7,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$155,T1BHD_Clr_Hole_Dia,0.218,0.218,='Excel Calcs'!H8,String,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$156,T1BHD_Eng_Hole_Dia,0.203,0.203,='Excel Calcs'!H9,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$157,T1BHD_X_Hole1_Loc,2.000,2.0,='Excel Calcs'!H12,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$158,T1BHD_X_Hole1_ArrayQty,16.000,16.0,='Excel Calcs'!H13,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$159,T1BHD_X_Hole1_ArrayDist,5.267,5.266666666666667,='Excel Calcs'!H14,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$160,T1BHD_Y_Hole2_Loc,1.000,1.0,='Excel Calcs'!H15,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$161,T1BHD_Y_Hole2_Qty,2.000,2.0,='Excel Calcs'!H16,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$162,T1BHD_Y_Hole2_Array_Dist,1.895,1.894990000000007,='Excel Calcs'!H17,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$163,T1BHD_X_Hole3_Array_Qty,13.000,13.0,='Excel Calcs'!H18,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$164,T1BHD_X_Hole3_Array_Dist,6.000,6.0,='Excel Calcs'!H19,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$165,T1BHD_X_Hole4_Array_Qty,13.000,13.0,='Excel Calcs'!H20,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$166,T1BHD_X_Hole4_Array_Dist,6.000,6.0,='Excel Calcs'!H21,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$167,T1BHD_Mid_Flg_Offset,0.812,0.812,='Excel Calcs'!H22,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$168,T1BHD_X_Hole1_ArraySuppression,4.000,4.0,='Excel Calcs'!H23,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$169,T1BHD_CoilCasing_Hole_Y_Loc,0.375,0.375,='Excel Calcs'!H24,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$170,T1BHD_Y_Hole5_Qty,2.000,2.0,='Excel Calcs'!H89,Number,ul,,,,,No
Calc_10006_023.xls,Sheet1,$B$171,T1BHD_Y_Hole5_Array_Dist,1.083,1.0829900000000068,='Excel Calcs'!H90,Number,in,,,,,No
Calc_10006_023.xls,Sheet1,$B$172,T2BHD_Width,82.395,82.39471,='Excel Calcs'!H28,Number,in,,,,,No
